Batch Size,Model Name,Compilation Type,Time,Device,Component
16,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,200.6,t4,backbone
32,openMUSE/muse-laiona6-uvit-clip-220k,None,495.8,t4,backbone
32,runwayml/stable-diffusion-v1-5,None,1994.5,t4,backbone
32,openMUSE/muse-laiona6-uvit-clip-220k,default,402.5,t4,backbone
32,runwayml/stable-diffusion-v1-5,default,1902.8,t4,backbone
32,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,410.1,t4,backbone
1,openMUSE/muse-laiona6-uvit-clip-220k,None,104.8,4090,full
1,runwayml/stable-diffusion-v1-5,None,569.1,4090,full
1,openMUSE/muse-laiona6-uvit-clip-220k,default,105.5,4090,full
1,runwayml/stable-diffusion-v1-5,default,551.0,4090,full
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,105.2,4090,full
1,runwayml/stable-diffusion-v1-5,reduce-overhead,556.3,4090,full
2,openMUSE/muse-laiona6-uvit-clip-220k,None,184.6,4090,full
2,runwayml/stable-diffusion-v1-5,None,911.1,4090,full
2,openMUSE/muse-laiona6-uvit-clip-220k,default,182.9,4090,full
2,runwayml/stable-diffusion-v1-5,default,882.0,4090,full
2,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,184.7,4090,full
2,runwayml/stable-diffusion-v1-5,reduce-overhead,896.2,4090,full
4,openMUSE/muse-laiona6-uvit-clip-220k,None,268.1,4090,full
4,runwayml/stable-diffusion-v1-5,None,1681.7,4090,full
4,openMUSE/muse-laiona6-uvit-clip-220k,default,268.9,4090,full
4,runwayml/stable-diffusion-v1-5,default,1616.5,4090,full
4,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,268.9,4090,full
4,runwayml/stable-diffusion-v1-5,reduce-overhead,1658.8,4090,full
8,openMUSE/muse-laiona6-uvit-clip-220k,None,529.7,4090,full
8,runwayml/stable-diffusion-v1-5,None,3315.5,4090,full
8,openMUSE/muse-laiona6-uvit-clip-220k,default,528.7,4090,full
8,runwayml/stable-diffusion-v1-5,default,3175.9,4090,full
8,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,529.7,4090,full
16,openMUSE/muse-laiona6-uvit-clip-220k,None,1200.0,4090,full
16,runwayml/stable-diffusion-v1-5,None,6700.0,4090,full
16,openMUSE/muse-laiona6-uvit-clip-220k,default,1200.0,4090,full
16,runwayml/stable-diffusion-v1-5,default,6300.0,4090,full
16,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,1200.0,4090,full
32,openMUSE/muse-laiona6-uvit-clip-220k,None,2400.0,4090,full
32,runwayml/stable-diffusion-v1-5,None,13600.0,4090,full
32,openMUSE/muse-laiona6-uvit-clip-220k,default,2400.0,4090,full
32,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,2400.0,4090,full
1,openMUSE/muse-laiona6-uvit-clip-220k,None,328.6,a100,full
1,runwayml/stable-diffusion-v1-5,None,925.4,a100,full
1,openMUSE/muse-laiona6-uvit-clip-220k,default,340.3,a100,full
1,runwayml/stable-diffusion-v1-5,default,727.8,a100,full
1,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,342.4,a100,full
1,runwayml/stable-diffusion-v1-5,reduce-overhead,622.6,a100,full
2,openMUSE/muse-laiona6-uvit-clip-220k,None,389.0,a100,full
2,runwayml/stable-diffusion-v1-5,None,1103.6,a100,full
2,openMUSE/muse-laiona6-uvit-clip-220k,default,388.8,a100,full
2,runwayml/stable-diffusion-v1-5,default,964.7,a100,full
2,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,374.5,a100,full
2,runwayml/stable-diffusion-v1-5,reduce-overhead,939.6,a100,full
4,openMUSE/muse-laiona6-uvit-clip-220k,None,437.3,a100,full
4,runwayml/stable-diffusion-v1-5,None,1754.1,a100,full
4,openMUSE/muse-laiona6-uvit-clip-220k,default,444.0,a100,full
4,runwayml/stable-diffusion-v1-5,default,1574.0,a100,full
4,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,447.9,a100,full
4,runwayml/stable-diffusion-v1-5,reduce-overhead,1553.3,a100,full
8,openMUSE/muse-laiona6-uvit-clip-220k,None,639.3,a100,full
8,runwayml/stable-diffusion-v1-5,None,3151.0,a100,full
8,openMUSE/muse-laiona6-uvit-clip-220k,default,638.4,a100,full
8,runwayml/stable-diffusion-v1-5,default,2788.2,a100,full
8,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,637.7,a100,full
8,runwayml/stable-diffusion-v1-5,reduce-overhead,2777.0,a100,full
16,openMUSE/muse-laiona6-uvit-clip-220k,None,1300.0,a100,full
16,runwayml/stable-diffusion-v1-5,None,6100.0,a100,full
16,openMUSE/muse-laiona6-uvit-clip-220k,default,1300.0,a100,full
16,runwayml/stable-diffusion-v1-5,default,5400.0,a100,full
16,openMUSE/muse-laiona6-uvit-clip-220k,reduce-overhead,1300.0,a100,full
16,runwayml/stable-diffusion-v1-5,reduce-overhead,5300.0,a100,full
