Batch Size,Model Name,Compilation Type,Median,Mean,Device,Component,Timesteps,Max Memory
2,runwayml/stable-diffusion-v1-5,default,878.0966466292739,878.0966466292739,4090,full,20,3244598784
2,runwayml/stable-diffusion-v1-5,reduce-overhead,567.3375399783254,567.3375399783254,4090,full,12,3253724160
2,runwayml/stable-diffusion-v1-5,reduce-overhead,863.9821768738329,863.9821768738329,4090,full,20,3253724160
4,runwayml/stable-diffusion-v1-5,None,1095.45870218426,1095.45870218426,4090,full,12,4319534592
4,runwayml/stable-diffusion-v1-5,None,1671.4036203920841,1671.4036203920841,4090,full,20,4319534592
4,runwayml/stable-diffusion-v1-5,default,1055.2249550819397,1055.2249550819397,4090,full,12,4319534592
4,runwayml/stable-diffusion-v1-5,default,1605.4596873000264,1605.4596873000264,4090,full,20,4319534592
4,runwayml/stable-diffusion-v1-5,reduce-overhead,1047.6619573310018,1047.6619573310018,4090,full,12,4329264128
4,runwayml/stable-diffusion-v1-5,reduce-overhead,1586.6175470873713,1586.6175470873713,4090,full,20,4329264128
8,runwayml/stable-diffusion-v1-5,None,2170.5977395176888,2170.5977395176888,4090,full,12,6469479936
8,runwayml/stable-diffusion-v1-5,None,3323.135661892593,3323.135661892593,4090,full,20,6469479936
8,runwayml/stable-diffusion-v1-5,default,2068.6372220516205,2068.6372220516205,4090,full,12,6469479936
8,runwayml/stable-diffusion-v1-5,default,3137.7890771254897,3137.7890771254897,4090,full,20,6469479936
16,runwayml/stable-diffusion-v1-5,None,4405.677381902933,4405.677381902933,4090,full,12,10769149440
16,runwayml/stable-diffusion-v1-5,None,6744.045728817582,6744.045728817582,4090,full,20,10769149440
16,runwayml/stable-diffusion-v1-5,default,4044.248648919165,4044.248648919165,4090,full,12,10769149440
16,runwayml/stable-diffusion-v1-5,default,6146.266496740282,6146.266496740282,4090,full,20,10769149440
32,runwayml/stable-diffusion-v1-5,None,9025.505508296192,9025.505508296192,4090,full,12,17222561280
32,runwayml/stable-diffusion-v1-5,None,13753.053216263652,13753.053216263652,4090,full,20,17221709312
1,williamberman/laiona6plus_uvit_clip_f8,None,8.228525333106518,8.225477451028734,4090,backbone,,1550296576
1,williamberman/laiona6plus_uvit_clip_f8,default,5.401471070945263,5.405807568642654,4090,backbone,,1550689792
1,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,3.5050317738205194,3.5049776049951715,4090,backbone,,1817176576
2,williamberman/laiona6plus_uvit_clip_f8,None,7.921426743268966,7.921347652490323,4090,backbone,,1555266560
2,williamberman/laiona6plus_uvit_clip_f8,default,5.537006724625826,5.535959918051958,4090,backbone,,1556315136
2,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,3.8021549582481384,3.856140640206062,4090,backbone,,1834580992
4,williamberman/laiona6plus_uvit_clip_f8,None,8.023034129291773,8.021042954463224,4090,backbone,,1680680960
4,williamberman/laiona6plus_uvit_clip_f8,default,5.421498231589794,5.423758639708946,4090,backbone,,1682778112
4,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,4.1523010563105345,4.152271489923199,4090,backbone,,1869389824
8,williamberman/laiona6plus_uvit_clip_f8,None,8.34356788545847,8.340278997396428,4090,backbone,,1690861568
8,williamberman/laiona6plus_uvit_clip_f8,default,6.646436732262373,6.714718403915564,4090,backbone,,1693483008
8,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,6.590946484357119,6.601221783785149,4090,backbone,,1939007488
16,williamberman/laiona6plus_uvit_clip_f8,None,15.155634563416243,15.15489746151226,4090,backbone,,1633308672
16,williamberman/laiona6plus_uvit_clip_f8,default,12.746618734672666,12.74083551252261,4090,backbone,,1642745856
16,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,13.005549600347877,13.004628813359886,4090,backbone,,2082953216
32,williamberman/laiona6plus_uvit_clip_f8,None,22.27504001930356,22.277377154678106,4090,backbone,,1722470400
32,williamberman/laiona6plus_uvit_clip_f8,default,18.040089262649417,18.037003496040903,4090,backbone,,1739247616
32,williamberman/laiona6plus_uvit_clip_f8,reduce-overhead,18.310839077457786,18.30719026426474,4090,backbone,,2361219072
1,williamberman/laiona6plus_uvit_clip_f8,None,1.9063955638557673,1.9069686376800141,4090,vae,,211839488
1,williamberman/laiona6plus_uvit_clip_f8,default,1.904119411483407,1.903661188359062,4090,vae,,211839488
